Tiempo,acc X,acc Y,acc Z,giro X,giro Y,giro Z,temperatura
1.946998119354248,-1.678335,-3.41054,9.697714,-0.042101,-0.002398,-0.013856,24.403528
2.0542287826538086,-1.753753,-3.535039,10.087969,-0.041035,-0.002931,-0.013057,24.415292
2.1647133827209473,-1.756147,-3.55539,10.092758,-0.040236,-0.002931,-0.013057,24.418233
2.2716615200042725,-1.756147,-3.54701,10.117897,-0.040502,-0.002931,-0.01359,24.432939
2.382075548171997,-1.740585,-3.543418,10.099941,-0.041302,-0.002398,-0.013856,24.43588
2.4926462173461914,-1.74657,-3.54701,10.10832,-0.041302,-0.002665,-0.013323,24.432939
2.6030616760253906,-1.753753,-3.542221,10.098743,-0.041302,-0.002665,-0.013057,24.432939
2.7096636295318604,-1.758541,-3.549404,10.096349,-0.040502,-0.002931,-0.013057,24.450588
2.8200643062591553,-1.745373,-3.545813,10.096349,-0.040769,-0.002931,-0.013856,24.453529
2.930079936981201,-1.747767,-3.543418,10.107123,-0.041568,-0.002132,-0.013057,24.453529
3.0376739501953125,-1.75495,-3.548207,10.111911,-0.041568,-0.001865,-0.01359,24.45647
3.1480941772460938,-1.747767,-3.556587,10.114306,-0.041302,-0.002665,-0.01359,24.453529
3.2581048011779785,-1.751358,-3.55539,10.097546,-0.041035,-0.002398,-0.01359,24.45647
3.3651061058044434,-1.752556,-3.556587,10.113108,-0.041302,-0.002931,-0.013057,24.45647
3.4756946563720703,-1.750161,-3.552995,10.092758,-0.041035,-0.002398,-0.013057,24.45647
3.5860910415649414,-1.745373,-3.550601,10.098743,-0.040769,-0.002665,-0.013057,24.453529
3.6931164264678955,-1.750161,-3.550601,10.105926,-0.041302,-0.003198,-0.01359,24.459411
3.803271532058716,-1.742979,-3.556587,10.10832,-0.041302,-0.002665,-0.013057,24.45647
3.9140918254852295,-1.751358,-3.54701,10.093955,-0.040769,-0.002665,-0.01359,24.45647
4.020727872848511,-1.747767,-3.548207,10.099941,-0.041035,-0.002665,-0.013323,24.462352
4.131118059158325,-1.747767,-3.543418,10.099941,-0.040769,-0.003198,-0.013323,24.45647
4.241645574569702,-1.753753,-3.544615,10.102334,-0.040769,-0.002931,-0.01359,24.450588
4.3482985496521,-1.745373,-3.548207,10.103531,-0.041568,-0.002132,-0.013856,24.453529
4.458706617355347,-1.753753,-3.548207,10.095152,-0.042368,-0.002132,-0.013856,24.453529
4.569288492202759,-1.759738,-3.550601,10.097546,-0.040502,-0.002398,-0.013323,24.453529
4.676433563232422,-1.751358,-3.54701,10.109518,-0.041302,-0.002398,-0.013323,24.468235
4.786410093307495,-1.74657,-3.549404,10.107123,-0.041302,-0.002665,-0.013057,24.462352
4.896430015563965,-1.753753,-3.542221,10.120291,-0.041302,-0.002132,-0.013323,24.462352
5.003734111785889,-1.753753,-3.548207,10.096349,-0.041302,-0.002398,-0.013323,24.459411
5.114264726638794,-1.750161,-3.545813,10.107123,-0.041302,-0.002931,-0.013323,24.45647
5.22446608543396,-1.750161,-3.537433,10.095152,-0.040769,-0.002931,-0.013057,24.459411
5.33174467086792,-1.753753,-3.551798,10.103531,-0.041568,-0.002931,-0.013856,24.450588
5.442497253417969,-1.747767,-3.548207,10.10832,-0.041035,-0.002132,-0.013057,24.459411
5.552730321884155,-1.751358,-3.54701,10.10832,-0.041835,-0.002398,-0.013323,24.453529
5.659637689590454,-1.74657,-3.549404,10.093955,-0.041835,-0.002398,-0.013323,24.45647
5.769643783569336,-1.751358,-3.549404,10.097546,-0.040769,-0.003198,-0.013323,24.465293
5.880154371261597,-1.757344,-3.545813,10.092758,-0.042101,-0.002132,-0.013856,24.459411
5.990732908248901,-1.748964,-3.556587,10.109518,-0.040502,-0.002931,-0.013323,24.462352
6.09688663482666,-1.753753,-3.551798,10.10832,-0.041035,-0.002398,-0.013057,24.459411
6.208172082901001,-1.751358,-3.543418,10.10832,-0.041568,-0.002931,-0.01359,24.462352
6.317775249481201,-1.750161,-3.548207,10.096349,-0.041302,-0.002665,-0.013057,24.465293
6.42518949508667,-1.748964,-3.554192,10.1167,-0.041568,-0.001865,-0.013323,24.474117
6.535804510116577,-1.750161,-3.54701,10.104729,-0.041568,-0.002398,-0.013057,24.459411
6.6453492641448975,-1.752556,-3.54701,10.107123,-0.041302,-0.002398,-0.013323,24.459411
6.752373695373535,-1.756147,-3.535039,10.109518,-0.040769,-0.002398,-0.01279,24.465293
6.863398313522339,-1.74657,-3.539827,10.097546,-0.041035,-0.002398,-0.013057,24.462352
6.973424434661865,-1.744176,-3.548207,10.097546,-0.040502,-0.003198,-0.013057,24.453529
7.080447673797607,-1.747767,-3.548207,10.101138,-0.040769,-0.002665,-0.013323,24.450588
7.1914732456207275,-1.752556,-3.554192,10.104729,-0.041035,-0.002132,-0.013057,24.465293
7.301497936248779,-1.74657,-3.539827,10.10832,-0.041035,-0.002931,-0.013057,24.471176
7.408522129058838,-1.745373,-3.545813,10.096349,-0.041035,-0.002132,-0.01359,24.459411
7.518549680709839,-1.750161,-3.542221,10.097546,-0.041302,-0.002665,-0.013057,24.459411
7.6285741329193115,-1.752556,-3.558981,10.096349,-0.041568,-0.002665,-0.012524,24.459411
7.736597299575806,-1.752556,-3.557784,10.104729,-0.041302,-0.002665,-0.013323,24.459411
7.846806287765503,-1.751358,-3.545813,10.095152,-0.040502,-0.002665,-0.01279,24.465293
7.956549167633057,-1.739387,-3.543418,10.105926,-0.040502,-0.002665,-0.01279,24.468235
8.063817739486694,-1.741782,-3.549404,10.10832,-0.041302,-0.002398,-0.013323,24.462352
8.174231767654419,-1.74657,-3.545813,10.102334,-0.041302,-0.002132,-0.013323,24.462352
8.28483533859253,-1.752556,-3.545813,10.099941,-0.042368,-0.001865,-0.013057,24.462352
8.391413450241089,-1.745373,-3.549404,10.099941,-0.041835,-0.002398,-0.013323,24.462352
8.501889944076538,-1.747767,-3.548207,10.102334,-0.041835,-0.002132,-0.013057,24.462352
8.611769437789917,-1.748964,-3.54701,10.104729,-0.041568,-0.002132,-0.013323,24.459411
8.71925950050354,-1.748964,-3.552995,10.098743,-0.041035,-0.002931,-0.013057,24.462352
8.829830408096313,-1.752556,-3.542221,10.097546,-0.040236,-0.002665,-0.013057,24.453529
8.939888954162598,-1.747767,-3.545813,10.101138,-0.041568,-0.003198,-0.01359,24.45647
9.04709243774414,-1.748964,-3.550601,10.099941,-0.040502,-0.003198,-0.013323,24.471176
9.156909227371216,-1.752556,-3.550601,10.096349,-0.040502,-0.002931,-0.013057,24.465293
9.267944097518921,-1.744176,-3.54701,10.087969,-0.041835,-0.002931,-0.013057,24.459411
9.377960920333862,-1.748964,-3.548207,10.099941,-0.041568,-0.002665,-0.013057,24.453529
9.485272645950317,-1.744176,-3.549404,10.099941,-0.041568,-0.002931,-0.013323,24.459411
9.595255136489868,-1.748964,-3.541024,10.103531,-0.041835,-0.002132,-0.013856,24.468235
9.705981492996216,-1.748964,-3.552995,10.105926,-0.040502,-0.002665,-0.013057,24.459411
9.812975406646729,-1.752556,-3.550601,10.103531,-0.041035,-0.002665,-0.013323,24.462352
9.923269271850586,-1.758541,-3.541024,10.104729,-0.041568,-0.001865,-0.014123,24.453529
10.033266305923462,-1.744176,-3.551798,10.105926,-0.0429,-0.001599,-0.013323,24.45647
